trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
232,False,"{'a': 0.5, 'e': 0.7674129324324491}",25,10,-44.04411176226208,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.7654860224432944}",25,8,-53.90077725403682,"{0: 10, 1: 5, 2: 1, 3: 0, 4: 1}",1
234,False,"{'a': 0.5, 'e': 0.7635522230851047}",20,8,-20.030027892511598,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.7616115517620614}",20,5,-12.796715028849082,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.759664025940193}",25,6,-133.8657241664519,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 2}",1
237,False,"{'a': 0.5, 'e': 0.7577096631472189}",25,17,14.589326813695754,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.755748480972391}",20,0,-83.90074085459537,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
239,False,"{'a': 0.5, 'e': 0.7537804970663355}",20,10,-7.073340561050974,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.7518057291408946}",20,6,-24.929848148108785,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.7498241949689661}",25,12,-36.250662591082644,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.7478359123843442}",25,11,-17.575810158256093,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.7458408992815586}",25,11,-86.74160126221261,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 1}",1
244,False,"{'a': 0.5, 'e': 0.743839173615714}",20,2,-57.272665235294276,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.7418307534023278}",20,11,3.9065021177295636,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.7398156567171683}",25,5,-161.42890403904494,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",1
247,False,"{'a': 0.5, 'e': 0.7377939016960922}",20,9,-13.551496150703857,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.7357655065348807}",25,14,-80.41689381750558,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
249,False,"{'a': 0.5, 'e': 0.7337304894890769}",30,12,-26.731931800210603,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.7316888688738205}",30,13,-29.974301661617805,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.729640663063683}",25,9,-8.707714878515636,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.7275858904925031}",25,7,-32.73066944008586,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.72552456965322}",25,14,3.1196976771852607,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.7234567190977071}",20,13,-1.7531089583741382,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.7213823574366058}",25,5,-39.122522506277434,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.7193015033391569}",25,2,-138.48207564301842,"{0: 12, 1: 5, 2: 3, 3: 1, 4: 2}",1
257,False,"{'a': 0.5, 'e': 0.7172141755330332}",20,3,-23.20419675864181,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.715120392804171}",20,10,-1.7077565912162713,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.7130201739966006}",30,10,-87.47872582602872,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
260,False,"{'a': 0.5, 'e': 0.710913538012277}",25,12,-12.377011637620377,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.70880050381091}",30,11,-30.715609010075895,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
262,False,"{'a': 0.5, 'e': 0.7066810904097931}",20,7,-52.62883988989236,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
263,False,"{'a': 0.5, 'e': 0.7045553168836326}",20,0,-88.00708491280818,"{0: 9, 1: 8, 2: 2, 3: 0, 4: 1}",0
264,False,"{'a': 0.5, 'e': 0.7024232023643758}",25,7,-72.69041125763303,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
265,False,"{'a': 0.5, 'e': 0.7002847660410393}",25,10,-150.83555616649605,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 3}",1
266,False,"{'a': 0.5, 'e': 0.6981400271595352}",20,6,-67.6471720619426,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
267,False,"{'a': 0.5, 'e': 0.6959890050224992}",25,1,-5.121604116079872,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.6938317189891158}",25,15,-3.3563421628113383,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.6916681884749449}",20,10,-117.57012148685354,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 2}",1
270,False,"{'a': 0.5, 'e': 0.6894984329517465}",20,6,10.781247468629655,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.6873224719473057}",20,11,-35.88192213321933,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
272,False,"{'a': 0.5, 'e': 0.6851403250452568}",20,11,0.4455372387069474,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.6829520118849072}",25,0,-94.8693478329412,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
274,False,"{'a': 0.5, 'e': 0.6807575521610605}",25,14,-0.7662176913060526,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
